,Period as of,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023,Q1/2024 31 Mar 2024
0,Financial Data,,,,,
1,Assets,350170.58,356221.74,337043.66,454439.22,455211.3
2,Liabilities,274481.21,274397.22,251227.31,363761.01,369823.62
3,Equity,75563.98,81698.75,85688.72,90577.12,85287.08
4,Paid-up Capital,2973.55,2973.93,2974.21,2974.21,2974.21
5,Revenue,173720.31,182605.54,186142.92,189720.27,53465.06
6,Profit (Loss) from Other Activities,69.89,-786.32,-72.87,787.74,43.78
7,Net Profit,27434.36,26922.15,26011.28,29086.11,8451.05
8,EPS (Baht),9.23,9.05,8.75,9.78,2.84
9,Financial Ratio,,,,,
10,ROA (%),12.02,10.91,10.79,10.65,11.53
11,ROE (%),37.88,34.24,31.08,33.0,37.28
12,Net Profit Margin (%),15.79,14.74,13.98,15.33,15.81
