,Period as of,Y/E 2020 29 Feb 2020,Y/E 2021 28 Feb 2021,Y/E 2022 28 Feb 2022,Y/E 2023 28 Feb 2023,9M/2024 30 Nov 2023
0,Financial Data,,,,,
1,Assets,95395.61,87388.5,90469.39,95206.69,94333.46
2,Liabilities,74270.46,70008.84,70205.43,71858.61,70014.04
3,Equity,20727.98,17057.78,19888.71,22821.48,23704.76
4,Paid-up Capital,250.0,250.0,250.0,250.0,250.0
5,Revenue,21685.46,19822.54,19048.23,20230.91,15013.22
6,Profit (Loss) from Other Activities,538.54,203.46,308.67,401.95,165.33
7,Net Profit,3975.36,3689.64,3553.04,3815.15,2165.21
8,EPS (Baht),15.9,14.76,14.21,15.26,8.66
9,Financial Ratio,,,,,
10,ROA (%),7.71,7.38,7.11,7.38,6.1
11,ROE (%),19.18,19.53,19.23,17.87,12.57
12,Net Profit Margin (%),19.0,18.56,18.76,19.55,14.77
