,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,1316.99,757.19,1599.43,12154.93,12014.65
2,Liabilities,533.17,97.43,142.2,182.11,244.1
3,Equity,813.98,659.99,1457.23,11972.83,11770.55
4,Paid-up Capital,1224.25,4284.87,7180.86,20963.71,25251.84
5,Revenue,209.58,85.14,98.16,287.15,714.1
6,Profit (Loss) from Other Activities,42.76,-9.4,27.87,-317.25,-812.52
7,Net Profit,-237.87,-300.61,-134.99,-161.74,-491.52
8,EPS (Baht),-0.19,-0.13,-0.12,-0.06,-0.11
9,Financial Ratio,,,,,
10,ROA (%),-14.72,-29.46,-11.38,-3.02,-3.37
11,ROE (%),-27.17,-40.79,-12.75,-2.41,-4.14
12,Net Profit Margin (%),-127.89,-373.03,-137.53,-56.33,-68.83
